StudyTime,PreviousTestScore,ParentEducation,Pass
7,89,2,Passed_with_low_Score
7,81,0,Passed_with_low_Score
5,94,1,Passed_with_high_Score
3,80,4,Fail
3,77,3,Fail
7,91,2,Passed_with_high_Score
6,76,2,Passed_with_low_Score
5,88,3,Passed_with_low_Score
1,33,1,Fail
7,84,0,Passed_with_low_Score
4,69,4,Passed_with_low_Score
2,78,1,Fail
7,96,2,Passed_with_high_Score
3,72,3,Fail
4,57,3,Passed_with_low_Score
9,89,2,Passed_with_low_Score
4,70,3,Passed_with_low_Score
2,75,4,Fail
2,68,4,Fail
3,71,4,Fail
1,38,4,Fail
4,74,3,Passed_with_low_Score
3,79,3,Fail
8,94,0,Passed_with_high_Score
7,86,2,Passed_with_low_Score
5,97,3,Passed_with_high_Score
1,42,4,Fail
9,94,2,Passed_with_high_Score
7,92,2,Passed_with_high_Score
2,73,3,Fail
6,70,0,Passed_with_low_Score
3,66,3,Fail
7,85,2,Passed_with_low_Score
7,87,2,Passed_with_low_Score
5,90,4,Passed_with_high_Score
1,40,1,Fail
7,93,0,Passed_with_high_Score
9,93,0,Passed_with_high_Score
1,34,3,Fail
4,68,4,Passed_with_low_Score
6,77,2,Passed_with_low_Score
9,87,2,Passed_with_low_Score
3,68,3,Fail
1,48,1,Fail
2,72,4,Fail
7,99,2,Passed_with_high_Score
6,72,0,Passed_with_low_Score
6,71,0,Passed_with_low_Score
8,91,2,Passed_with_high_Score
4,67,4,Passed_with_low_Score
1,39,3,Fail
8,88,0,Passed_with_low_Score
7,80,2,Passed_with_low_Score
4,63,3,Passed_with_low_Score
9,95,2,Passed_with_high_Score
8,92,0,Passed_with_high_Score
5,91,4,Passed_with_high_Score
3,74,1,Fail
2,77,3,Fail
4,66,1,Passed_with_low_Score
6,86,2,Passed_with_low_Score
9,97,2,Passed_with_high_Score
10,100,2,Passed_with_high_Score
2,61,4,Fail
7,83,2,Passed_with_low_Score
6,81,2,Passed_with_low_Score
2,64,4,Fail
6,88,0,Passed_with_low_Score
5,100,3,Passed_with_high_Score
4,62,4,Passed_with_low_Score
10,97,0,Passed_with_high_Score
9,94,2,Passed_with_high_Score
2,76,3,Fail
10,96,2,Passed_with_high_Score
3,76,4,Fail
8,94,0,Passed_with_high_Score
4,73,4,Passed_with_low_Score
6,83,0,Passed_with_low_Score
5,95,1,Passed_with_high_Score
10,97,0,Passed_with_high_Score
2,60,3,Fail
9,95,0,Passed_with_high_Score
4,71,1,Passed_with_low_Score
9,88,0,Passed_with_low_Score
10,89,2,Passed_with_low_Score
7,88,2,Passed_with_low_Score
10,92,2,Passed_with_high_Score
4,72,4,Passed_with_low_Score
5,86,4,Passed_with_low_Score
10,98,2,Passed_with_high_Score
2,62,4,Fail
10,94,0,Passed_with_high_Score
10,98,0,Passed_with_high_Score
8,88,2,Passed_with_low_Score
10,98,2,Passed_with_high_Score
1,31,1,Fail
6,85,2,Passed_with_low_Score
4,75,3,Passed_with_low_Score
9,90,0,Passed_with_high_Score
5,93,4,Passed_with_high_Score
1,50,1,Fail
2,63,3,Fail
2,74,3,Fail
7,94,0,Passed_with_high_Score
6,80,0,Passed_with_low_Score
1,36,3,Fail
5,92,3,Passed_with_high_Score
2,66,3,Fail
2,71,4,Fail
4,61,3,Passed_with_low_Score
4,59,4,Passed_with_low_Score
5,90,4,Passed_with_high_Score
3,84,1,Fail
8,90,0,Passed_with_high_Score
5,98,3,Passed_with_high_Score
8,93,2,Passed_with_high_Score
1,44,4,Fail
1,46,3,Fail
8,89,2,Passed_with_low_Score
3,67,3,Fail
5,95,4,Passed_with_high_Score
3,75,1,Fail
7,95,2,Passed_with_high_Score
4,60,1,Passed_with_low_Score
7,82,2,Passed_with_low_Score
8,87,0,Passed_with_low_Score
1,32,1,Fail
9,92,0,Passed_with_high_Score
10,100,0,Passed_with_high_Score
6,73,0,Passed_with_low_Score
3,81,4,Fail
9,92,2,Passed_with_high_Score
1,41,1,Fail
1,35,4,Fail
8,89,0,Passed_with_low_Score
3,78,4,Fail
8,85,0,Passed_with_low_Score
7,90,0,Passed_with_high_Score
8,90,0,Passed_with_high_Score
8,92,0,Passed_with_high_Score
5,87,1,Passed_with_low_Score
3,82,1,Fail
7,98,2,Passed_with_high_Score
6,74,0,Passed_with_low_Score
5,99,1,Passed_with_high_Score
1,47,3,Fail
9,88,0,Passed_with_low_Score
5,94,4,Passed_with_high_Score
10,99,2,Passed_with_high_Score
8,93,2,Passed_with_high_Score
4,58,4,Passed_with_low_Score
10,90,2,Passed_with_high_Score
6,78,2,Passed_with_low_Score
3,65,3,Fail
8,86,2,Passed_with_low_Score
6,75,0,Passed_with_low_Score
10,91,2,Passed_with_high_Score
10,95,2,Passed_with_high_Score
9,89,2,Passed_with_low_Score
2,67,3,Fail
